id,groupkey,name,parent_id/id
product_category#522,522,FTE OHNE ZUORDUNG,O#product_category#0
product_category#523,523,BOSCH O. ZUORDNUNG,O#product_category#0
product_category#525,525,STG-AKTUELL,O#product_category#0
product_category#527,527,LEMFOERDER ART. O. ZU,O#product_category#0
product_category#528,528,GATES OHNE ZUORDUNG,O#product_category#0
product_category#531,531,OPTIMAL ART. O. ZUO.,O#product_category#0
product_category#532,532,JOHNS O. ZUORDUNG,O#product_category#0
product_category#533,533,VALEO O. ZUORDNUNG,O#product_category#0
product_category#534,534,JAPANPARTS,O#product_category#0
product_category#535,535,BLUEPRINT O. ZUORDN.,O#product_category#0
product_category#540,540,FEBI O. ZUORDNUNG,O#product_category#0
product_category#543,543,AIC O. ZUORDNUNG,O#product_category#0
product_category#548,548,MEYLE O. ZUORDNUNG,O#product_category#0
product_category#551,551,FRIG O. ZUORDUNG,O#product_category#0
product_category#554,554,VAICO O. ZUORDNUNG,O#product_category#0
product_category#556,556,DELPHI O. ZUORDNUNG,O#product_category#0
product_category#600,600,CHEM. PRODUKTE,O#product_category#0
product_category#601,601,CHEM. PRODUKTE,O#product_category#0
product_category#602,602,CHEM. PRODUKTE,O#product_category#0
product_category#603,603,CHEM. PRODUKTE,O#product_category#0
product_category#604,604,CRC CHEM. PRODUKTE,O#product_category#0
product_category#605,605,CHEM. PRODUKTE,O#product_category#0
product_category#606,606,CHEM. PRODUKTE,O#product_category#0
product_category#607,607,CHEM. PRODUKTE,O#product_category#0
product_category#608,608,CHEM. PRODUKTE,O#product_category#0
product_category#609,609,CH.PRO.AUSSER STARTPI,O#product_category#0
product_category#610,610,CHEM. PRODUKTE,O#product_category#0
product_category#611,611,CHEM. PRODUKTE,O#product_category#0
product_category#612,612,CHEM. PRODUKTE,O#product_category#0
product_category#613,613,CHEM. PRODUKTE,O#product_category#0
product_category#614,614,CHEM. PRODUKTE,O#product_category#0
product_category#615,615,CHEM. PRODUKTE,O#product_category#0
product_category#616,616,CHEM. PRODUKTE,O#product_category#0
product_category#617,617,CHEM. PRODUKTE,O#product_category#0
product_category#618,618,CHEM. PRODUKTE,O#product_category#0
product_category#619,619,CHEM. PRODUKTE,O#product_category#0
product_category#620,620,CHEM. PRODUKTE,O#product_category#0
product_category#621,621,CHEM. PRODUKTE,O#product_category#0
product_category#622,622,WERKSTATTGEBINDE,O#product_category#0
product_category#623,623,CHEM. PRODUKTE,O#product_category#0
product_category#624,624,CHEM. PRODUKTE,O#product_category#0
product_category#625,625,CHEM. PRODUKTE,O#product_category#0
product_category#626,626,CHEM. PRODUKTE,O#product_category#0
product_category#627,627,CHEM. PRODUKTE,O#product_category#0
product_category#628,628,CHEM. PRODUKTE,O#product_category#0
product_category#629,629,CHEM. PRODUKTE,O#product_category#0
product_category#630,630,CHEM. PRODUKTE,O#product_category#0
product_category#631,631,CHEM. PRODUKTE,O#product_category#0
product_category#632,632,CHEM. PRODUKTE,O#product_category#0
product_category#633,633,CHEM. PRODUKTE,O#product_category#0
product_category#634,634,CHEM. PRODUKTE,O#product_category#0
product_category#635,635,CHEM. PRODUKTE,O#product_category#0
product_category#636,636,CHEM. PRODUKTE,O#product_category#0
product_category#637,637,CHEM. PRODUKTE,O#product_category#0
product_category#638,638,CHEM. PRODUKTE,O#product_category#0
product_category#639,639,CHEM. PRODUKTE,O#product_category#0
product_category#640,640,CHEM. PRODUKTE,O#product_category#0
product_category#641,641,CHEM. PRODUKTE,O#product_category#0
product_category#642,642,CHEM. PRODUKTE,O#product_category#0
product_category#643,643,CHEM. PRODUKTE,O#product_category#0
product_category#644,644,CHEM. PRODUKTE,O#product_category#0
product_category#645,645,CHEM. PRODUKTE,O#product_category#0
product_category#646,646,CHEM. PRODUKTE,O#product_category#0
product_category#647,647,CHEM. PRODUKTE,O#product_category#0
product_category#648,648,CHEM. PRODUKTE,O#product_category#0
product_category#649,649,CHEM. PRODUKTE,O#product_category#0
product_category#650,650,CHEM. PRODUKTE,O#product_category#0
product_category#651,651,CHEM. PRODUKTE,O#product_category#0
product_category#652,652,CHEM. PRODUKTE,O#product_category#0
product_category#653,653,CHEM. PRODUKTE,O#product_category#0
product_category#654,654,CHEM. PRODUKTE,O#product_category#0
product_category#655,655,STARTP.A.CHEMI ALLG.,O#product_category#0
product_category#656,656,CHEM. PRODUKTE,O#product_category#0
product_category#657,657,CHEM. PRODUKTE,O#product_category#0
product_category#658,658,CHEM. PRODUKTE,O#product_category#0
product_category#659,659,CHEM. PRODUKTE,O#product_category#0
product_category#662,662,CHEM. PRODUKTE,O#product_category#0
product_category#663,663,CHEM. PRODUKTE,O#product_category#0
product_category#665,665,CHEM. PRODUKTE,O#product_category#0
product_category#666,666,CHEM. PRODUKTE,O#product_category#0
product_category#667,667,CHEM. PRODUKTE,O#product_category#0
product_category#668,668,CHEM. PRODUKTE,O#product_category#0
product_category#669,669,CHEM. PRODUKTE,O#product_category#0
product_category#670,670,CHEM. PRODUKTE,O#product_category#0
product_category#671,671,CHEM. PRODUKTE,O#product_category#0
product_category#672,672,CHEM. PRODUKTE,O#product_category#0
product_category#674,674,CHEM. PRODUKTE,O#product_category#0
product_category#676,676,CHEM. PRODUKTE,O#product_category#0
product_category#677,677,CHEM. PRODUKTE,O#product_category#0
product_category#679,679,CHEM. PRODUKTE,O#product_category#0
product_category#680,680,CHEM. PRODUKTE,O#product_category#0
product_category#681,681,CHEM. PRODUKTE,O#product_category#0
product_category#690,690,CHEM. PRODUKTE,O#product_category#0
product_category#699,699,CHEM. PRODUKTE,O#product_category#0
product_category#700,700,PFLEGEMITTEL SOMMER,O#product_category#0
product_category#701,701,PFLEGEMITTEL SOMMER,O#product_category#0
product_category#702,702,PFLEGEMITTEL SOMMER,O#product_category#0
product_category#703,703,CRC PFLEGEMITTEL,O#product_category#0
product_category#704,704,PFLEGEMITTEL SOMMER,O#product_category#0
product_category#705,705,PFLEGEMITTEL SOMMER,O#product_category#0
product_category#706,706,PFLEGEMITTEL SOMMER,O#product_category#0
product_category#707,707,PFLEGEMITTEL SOMMER,O#product_category#0
product_category#708,708,PFLEGEMITTEL SOMMER,O#product_category#0
product_category#709,709,PFLEGEMITTEL,O#product_category#0
product_category#710,710,PFLEGEMITTEL SOMMER,O#product_category#0
