id,partner_id/id,partner_shipping_ids/id,tour_pricing_id/.id
partner_tour_config#24898,res_partner_id#24898,res_partner_id#24898,2
partner_tour_config#24959,res_partner_id#24959,res_partner_id#24959,2
partner_tour_config#23802,res_partner_id#23802,res_partner_id#23802,2
partner_tour_config#24929,res_partner_id#24929,res_partner_id#24929,2
partner_tour_config#22388,res_partner_id#22388,res_partner_id#22388,2
partner_tour_config#22317,res_partner_id#22317,res_partner_id#22317,2
partner_tour_config#23901,res_partner_id#23901,res_partner_id#23901,2
partner_tour_config#22387,res_partner_id#22387,res_partner_id#22387,2
partner_tour_config#24262,res_partner_id#24262,res_partner_id#24262,2
partner_tour_config#22490,res_partner_id#22490,res_partner_id#22490,2
partner_tour_config#22493,res_partner_id#22493,res_partner_id#22493,2
partner_tour_config#24378,res_partner_id#24378,res_partner_id#24378,2
partner_tour_config#22984,res_partner_id#22984,res_partner_id#22984,2
partner_tour_config#23396,res_partner_id#23396,res_partner_id#23396,2
partner_tour_config#22986,res_partner_id#22986,res_partner_id#22986,2
partner_tour_config#22313,res_partner_id#22313,res_partner_id#22313,2
partner_tour_config#24930,res_partner_id#24930,res_partner_id#24930,2
partner_tour_config#23456,res_partner_id#23456,res_partner_id#23456,2
partner_tour_config#22496,res_partner_id#22496,res_partner_id#22496,2
partner_tour_config#24921,res_partner_id#24921,res_partner_id#24921,2
partner_tour_config#24493,res_partner_id#24493,res_partner_id#24493,2
partner_tour_config#22413,res_partner_id#22413,res_partner_id#22413,2
partner_tour_config#22497,res_partner_id#22497,res_partner_id#22497,2
partner_tour_config#22592,res_partner_id#22592,res_partner_id#22592,2
partner_tour_config#24922,res_partner_id#24922,res_partner_id#24922,2
partner_tour_config#23131,res_partner_id#23131,res_partner_id#23131,2
partner_tour_config#22541,res_partner_id#22541,res_partner_id#22541,2
partner_tour_config#22581,res_partner_id#22581,res_partner_id#22581,2
partner_tour_config#22397,res_partner_id#22397,res_partner_id#22397,2
partner_tour_config#22338,res_partner_id#22338,res_partner_id#22338,2
partner_tour_config#22398,res_partner_id#22398,res_partner_id#22398,2
partner_tour_config#24899,res_partner_id#24899,res_partner_id#24899,2
partner_tour_config#23204,res_partner_id#23204,res_partner_id#23204,2
partner_tour_config#22540,res_partner_id#22540,res_partner_id#22540,2
partner_tour_config#22337,res_partner_id#22337,res_partner_id#22337,2
partner_tour_config#22212,res_partner_id#22212,res_partner_id#22212,2
partner_tour_config#24529,res_partner_id#24529,res_partner_id#24529,2
partner_tour_config#23903,res_partner_id#23903,res_partner_id#23903,2
partner_tour_config#24064,res_partner_id#24064,res_partner_id#24064,2
partner_tour_config#23902,res_partner_id#23902,res_partner_id#23902,2
partner_tour_config#24923,res_partner_id#24923,res_partner_id#24923,2
partner_tour_config#24924,res_partner_id#24924,res_partner_id#24924,2
partner_tour_config#24858,res_partner_id#24858,res_partner_id#24858,2
partner_tour_config#23766,res_partner_id#23766,res_partner_id#23766,2
partner_tour_config#24931,res_partner_id#24931,res_partner_id#24931,2
partner_tour_config#24941,res_partner_id#24941,res_partner_id#24941,2
partner_tour_config#23615,res_partner_id#23615,res_partner_id#23615,2
partner_tour_config#23576,res_partner_id#23576,res_partner_id#23576,2
partner_tour_config#24859,res_partner_id#24859,res_partner_id#24859,2
partner_tour_config#23457,res_partner_id#23457,res_partner_id#23457,2
partner_tour_config#22423,res_partner_id#22423,res_partner_id#22423,2
partner_tour_config#22475,res_partner_id#22475,res_partner_id#22475,2
partner_tour_config#22661,res_partner_id#22661,res_partner_id#22661,2
partner_tour_config#24532,res_partner_id#24532,res_partner_id#24532,2
partner_tour_config#9283,res_partner_id#9283,res_partner_id#9283,2
partner_tour_config#22849,res_partner_id#22849,res_partner_id#22849,2
partner_tour_config#24247,res_partner_id#24247,res_partner_id#24247,2
partner_tour_config#24530,res_partner_id#24530,res_partner_id#24530,2
partner_tour_config#23526,res_partner_id#23526,res_partner_id#23526,2
partner_tour_config#22428,res_partner_id#22428,res_partner_id#22428,2
partner_tour_config#22660,res_partner_id#22660,res_partner_id#22660,2
partner_tour_config#22419,res_partner_id#22419,res_partner_id#22419,2
partner_tour_config#22420,res_partner_id#22420,res_partner_id#22420,2
partner_tour_config#24584,res_partner_id#24584,res_partner_id#24584,2
partner_tour_config#22418,res_partner_id#22418,res_partner_id#22418,2
partner_tour_config#22422,res_partner_id#22422,res_partner_id#22422,2
partner_tour_config#24933,res_partner_id#24933,res_partner_id#24933,2
partner_tour_config#24550,res_partner_id#24550,res_partner_id#24550,2
partner_tour_config#24953,res_partner_id#24953,res_partner_id#24953,2
partner_tour_config#22602,res_partner_id#22602,res_partner_id#22602,2
partner_tour_config#23813,res_partner_id#23813,res_partner_id#23813,2
partner_tour_config#22662,res_partner_id#22662,res_partner_id#22662,2
partner_tour_config#22948,res_partner_id#22948,res_partner_id#22948,2
partner_tour_config#22507,res_partner_id#22507,res_partner_id#22507,2
partner_tour_config#22543,res_partner_id#22543,res_partner_id#22543,2
partner_tour_config#22224,res_partner_id#22224,res_partner_id#22224,2
partner_tour_config#22544,res_partner_id#22544,res_partner_id#22544,2
partner_tour_config#22502,res_partner_id#22502,res_partner_id#22502,2
partner_tour_config#23518,res_partner_id#23518,res_partner_id#23518,2
partner_tour_config#22429,res_partner_id#22429,res_partner_id#22429,2
partner_tour_config#24439,res_partner_id#24439,res_partner_id#24439,2
partner_tour_config#24635,res_partner_id#24635,res_partner_id#24635,2
partner_tour_config#22431,res_partner_id#22431,res_partner_id#22431,2
partner_tour_config#22505,res_partner_id#22505,res_partner_id#22505,2
partner_tour_config#22545,res_partner_id#22545,res_partner_id#22545,2
partner_tour_config#22430,res_partner_id#22430,res_partner_id#22430,2
partner_tour_config#23905,res_partner_id#23905,res_partner_id#23905,2
partner_tour_config#22506,res_partner_id#22506,res_partner_id#22506,2
partner_tour_config#22504,res_partner_id#22504,res_partner_id#22504,2
partner_tour_config#24934,res_partner_id#24934,res_partner_id#24934,2
partner_tour_config#22546,res_partner_id#22546,res_partner_id#22546,2
partner_tour_config#24869,res_partner_id#24869,res_partner_id#24869,2
partner_tour_config#22695,res_partner_id#22695,res_partner_id#22695,2
partner_tour_config#24065,res_partner_id#24065,res_partner_id#24065,2
partner_tour_config#23458,res_partner_id#23458,res_partner_id#23458,2
partner_tour_config#24560,res_partner_id#24560,res_partner_id#24560,2
partner_tour_config#24954,res_partner_id#24954,res_partner_id#24954,2
partner_tour_config#22370,res_partner_id#22370,res_partner_id#22370,2
partner_tour_config#24195,res_partner_id#24195,res_partner_id#24195,2
partner_tour_config#24226,res_partner_id#24226,res_partner_id#24226,2
partner_tour_config#24162,res_partner_id#24162,res_partner_id#24162,2
partner_tour_config#24561,res_partner_id#24561,res_partner_id#24561,2
partner_tour_config#24553,res_partner_id#24553,res_partner_id#24553,2
partner_tour_config#22653,res_partner_id#22653,res_partner_id#22653,2
partner_tour_config#22664,res_partner_id#22664,res_partner_id#22664,2
partner_tour_config#24552,res_partner_id#24552,res_partner_id#24552,2
partner_tour_config#24707,res_partner_id#24707,res_partner_id#24707,2
partner_tour_config#24414,res_partner_id#24414,res_partner_id#24414,2
partner_tour_config#23577,res_partner_id#23577,res_partner_id#23577,2
partner_tour_config#22501,res_partner_id#22501,res_partner_id#22501,2
partner_tour_config#22492,res_partner_id#22492,res_partner_id#22492,2
partner_tour_config#23422,res_partner_id#23422,res_partner_id#23422,2
partner_tour_config#24942,res_partner_id#24942,res_partner_id#24942,2
partner_tour_config#23944,res_partner_id#23944,res_partner_id#23944,2
partner_tour_config#22347,res_partner_id#22347,res_partner_id#22347,2
partner_tour_config#23271,res_partner_id#23271,res_partner_id#23271,2
partner_tour_config#24054,res_partner_id#24054,res_partner_id#24054,2
partner_tour_config#22549,res_partner_id#22549,res_partner_id#22549,2
partner_tour_config#23401,res_partner_id#23401,res_partner_id#23401,2
partner_tour_config#24960,res_partner_id#24960,res_partner_id#24960,2
partner_tour_config#24636,res_partner_id#24636,res_partner_id#24636,2
partner_tour_config#24554,res_partner_id#24554,res_partner_id#24554,2
partner_tour_config#24206,res_partner_id#24206,res_partner_id#24206,2
partner_tour_config#24961,res_partner_id#24961,res_partner_id#24961,2
partner_tour_config#24943,res_partner_id#24943,res_partner_id#24943,2
partner_tour_config#22508,res_partner_id#22508,res_partner_id#22508,2
partner_tour_config#24164,res_partner_id#24164,res_partner_id#24164,2
partner_tour_config#23207,res_partner_id#23207,res_partner_id#23207,2
partner_tour_config#24020,res_partner_id#24020,res_partner_id#24020,2
partner_tour_config#22345,res_partner_id#22345,res_partner_id#22345,2
partner_tour_config#22237,res_partner_id#22237,res_partner_id#22237,2
partner_tour_config#22346,res_partner_id#22346,res_partner_id#22346,2
partner_tour_config#24836,res_partner_id#24836,res_partner_id#24836,2
partner_tour_config#22343,res_partner_id#22343,res_partner_id#22343,2
